id,total_amount,amount_due,issue_date,due_date,paid_on_date,payer_id,days_to_pay,days_overdue_actual,status,current_days_overdue,issue_month,simulated_writeoff_date
4827,13632,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4828,7704,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4829,6710,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4830,18057,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4831,19844,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4832,9444,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4833,34396,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4834,12206,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4835,10943,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4836,7998,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4837,25997,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4838,8051,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4839,25094,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4840,12494,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4841,7304,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4842,9266,0.0,2022-02-15,2022-04-16,2022-04-04,bp1evZYjwarCVSaPPUin,48.0,-12.0,Paid,,2022-02,2022-07-15
4843,25968,0.0,2022-02-15,2022-02-20,2022-02-16,o87MXfC06QezUhhmBb20,1.0,-4.0,Paid,,2022-02,2022-05-21
4844,48960,0.0,2022-02-15,2022-02-20,2022-02-16,o87MXfC06QezUhhmBb20,1.0,-4.0,Paid,,2022-02,2022-05-21
4845,58948,69351.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4846,2176015,2560018.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4847,901362,1060426.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4848,239714,282016.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4849,274083,322450.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4850,862229,1014387.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4851,124384,146334.0,2022-02-15,2022-04-16,,FZBsxfxbzHyU23ZaNZVW,,,Overdue,198.0,2022-02,2022-07-15
4852,3179385,0.0,2022-02-15,2022-03-17,2022-03-08,FZBsxfxbzHyU23ZaNZVW,21.0,-9.0,Paid,,2022-02,2022-06-15
4853,3148482,0.0,2022-02-15,2022-03-17,2022-03-08,FZBsxfxbzHyU23ZaNZVW,21.0,-9.0,Paid,,2022-02,2022-06-15
4854,44455,0.0,2022-02-15,2022-02-15,2022-02-15,57UHMygsLvvJA6Abmv0X,0.0,0.0,Paid,,2022-02,2022-05-16
4855,78413,0.0,2022-02-15,2022-03-17,2022-04-30,PtKripUGrgWtvMK5zvmV,74.0,44.0,Paid,,2022-02,2022-06-15
4856,1426266,0.0,2022-02-15,2022-03-17,2022-03-17,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-15
4857,121233,0.0,2022-02-15,2022-03-17,2022-03-17,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-15
4858,356567,0.0,2022-02-15,2022-03-17,2022-03-17,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-15
4859,149992,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4860,66619,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4861,149528,0.0,2022-02-15,2022-04-16,2022-04-16,kALsymEb2wujiPvDLmmA,60.0,0.0,Paid,,2022-02,2022-07-15
4862,151396,0.0,2022-02-15,2022-04-16,2022-04-16,kALsymEb2wujiPvDLmmA,60.0,0.0,Paid,,2022-02,2022-07-15
4863,147285,0.0,2022-02-15,2022-04-16,2022-04-16,kALsymEb2wujiPvDLmmA,60.0,0.0,Paid,,2022-02,2022-07-15
4864,82738,0.0,2022-02-15,2022-04-16,2022-03-24,X7KDoztwcxzysJxWh3cv,37.0,-23.0,Paid,,2022-02,2022-07-15
4865,18384,0.0,2022-02-15,2022-04-16,2022-03-24,X7KDoztwcxzysJxWh3cv,37.0,-23.0,Paid,,2022-02,2022-07-15
4866,167893,0.0,2022-02-15,2022-04-16,2022-03-24,X7KDoztwcxzysJxWh3cv,37.0,-23.0,Paid,,2022-02,2022-07-15
4867,216057,0.0,2022-02-15,2022-04-16,2022-03-24,X7KDoztwcxzysJxWh3cv,37.0,-23.0,Paid,,2022-02,2022-07-15
4868,688500,0.0,2022-02-15,2022-04-01,2022-04-21,ZW6w9gaZiYJ45oS7t5Bb,65.0,20.0,Paid,,2022-02,2022-06-30
4869,36210,0.0,2022-02-15,2022-04-01,2022-04-13,ZW6w9gaZiYJ45oS7t5Bb,57.0,12.0,Paid,,2022-02,2022-06-30
4870,2972576,0.0,2022-02-15,2022-03-17,2022-04-27,UZafolcV260GykSTkt7E,71.0,41.0,Paid,,2022-02,2022-06-15
4871,177909,0.0,2022-02-15,2022-05-16,2022-05-23,xGXYElvBGThTUbrdJ4Cw,97.0,7.0,Paid,,2022-02,2022-08-14
4872,46665,0.0,2022-02-15,2022-03-17,2022-03-31,aPBtcPqs36U0dN6BN1of,44.0,14.0,Paid,,2022-02,2022-06-15
4873,362940,137477.0,2022-02-15,2022-04-16,,nELQW5vJOSBCgiwHissH,,,Overdue,198.0,2022-02,2022-07-15
4874,11525,0.0,2022-02-15,2022-04-16,2022-05-27,nELQW5vJOSBCgiwHissH,101.0,41.0,Paid,,2022-02,2022-07-15
4875,699199,0.0,2022-02-15,2022-03-17,2022-03-19,Cl7B1tiqz7cgpR6Jm18w,32.0,2.0,Paid,,2022-02,2022-06-15
4876,2313979,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4877,2308177,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4878,1823921,0.0,2022-02-15,2022-03-22,2022-03-31,WfLk5Mql7UpNovIJPp6C,44.0,9.0,Paid,,2022-02,2022-06-20
4879,2319782,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4880,2318621,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4881,2340670,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4882,2430295,0.0,2022-02-15,2022-03-22,2022-03-24,WfLk5Mql7UpNovIJPp6C,37.0,2.0,Paid,,2022-02,2022-06-20
4883,66516,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4884,66310,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4885,150390,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4886,67010,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4887,67297,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4888,151385,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4889,152181,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4890,67976,0.0,2022-02-15,2022-04-16,2022-05-25,pKey9MQ59wyF6GhjWM5p,99.0,39.0,Paid,,2022-02,2022-07-15
4891,16661,0.0,2022-02-15,2022-04-16,2022-06-14,pKey9MQ59wyF6GhjWM5p,119.0,59.0,Paid,,2022-02,2022-07-15
4892,314830,0.0,2022-02-15,2022-04-16,2022-05-04,pKey9MQ59wyF6GhjWM5p,78.0,18.0,Paid,,2022-02,2022-07-15
4893,913232,0.0,2022-02-15,2022-04-16,2022-03-28,pKey9MQ59wyF6GhjWM5p,41.0,-19.0,Paid,,2022-02,2022-07-15
4894,975538,0.0,2022-02-15,2022-04-16,2022-03-28,pKey9MQ59wyF6GhjWM5p,41.0,-19.0,Paid,,2022-02,2022-07-15
4895,78355,0.0,2022-02-16,2022-04-17,2022-10-31,pKey9MQ59wyF6GhjWM5p,257.0,197.0,Paid,,2022-02,2022-07-16
4896,7926,0.0,2022-02-16,2022-04-17,2022-10-31,pKey9MQ59wyF6GhjWM5p,257.0,197.0,Paid,,2022-02,2022-07-16
4897,262083,0.0,2022-02-16,2022-04-17,2022-10-31,pKey9MQ59wyF6GhjWM5p,257.0,197.0,Paid,,2022-02,2022-07-16
4898,195186,0.0,2022-02-16,2022-04-17,2022-05-27,kALsymEb2wujiPvDLmmA,100.0,40.0,Paid,,2022-02,2022-07-16
4899,159132,0.0,2022-02-16,2022-04-17,2022-05-27,kALsymEb2wujiPvDLmmA,100.0,40.0,Paid,,2022-02,2022-07-16
4900,158931,0.0,2022-02-16,2022-04-17,2022-05-27,kALsymEb2wujiPvDLmmA,100.0,40.0,Paid,,2022-02,2022-07-16
4901,154918,0.0,2022-02-16,2022-04-17,2022-05-27,kALsymEb2wujiPvDLmmA,100.0,40.0,Paid,,2022-02,2022-07-16
4902,66938,0.0,2022-02-16,2022-04-02,2022-06-16,EUoAdD8W9LmJRNpxGQpf,120.0,75.0,Paid,,2022-02,2022-07-01
4903,10030,0.0,2022-02-16,2022-04-02,2022-06-16,EUoAdD8W9LmJRNpxGQpf,120.0,75.0,Paid,,2022-02,2022-07-01
4904,17094,0.0,2022-02-16,2022-04-17,2022-10-18,huIXEhxBfSOq548jUIhM,244.0,184.0,Paid,,2022-02,2022-07-16
4905,2713376,0.0,2022-02-16,2022-04-17,2022-05-06,tgvFgRzM9X4NpG0enRBE,79.0,19.0,Paid,,2022-02,2022-07-16
4906,680008,0.0,2022-02-16,2022-03-18,2022-08-18,NAjIqWHdkYIerr4y239b,183.0,153.0,Paid,,2022-02,2022-06-16
4907,1984671,0.0,2022-02-16,2022-04-17,2022-07-22,xOgsoHdbiTOzVH1xvcyR,156.0,96.0,Paid,,2022-02,2022-07-16
4908,71868,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4909,61200,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4910,20400,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4911,41608,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4912,71868,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4913,75650,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4914,71868,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4915,52955,0.0,2022-02-16,2022-04-17,2022-05-04,bziNEI7rsbLiMvHqpNgZ,77.0,17.0,Paid,,2022-02,2022-07-16
4916,24480,0.0,2022-02-16,2022-02-21,2022-02-16,o87MXfC06QezUhhmBb20,0.0,-5.0,Paid,,2022-02,2022-05-22
4917,21420,0.0,2022-02-16,2022-02-16,2022-02-16,yXl8sa33E86NFYYEyxLg,0.0,0.0,Paid,,2022-02,2022-05-17
4918,3121376,0.0,2022-02-16,2022-03-18,2022-03-08,FZBsxfxbzHyU23ZaNZVW,20.0,-10.0,Paid,,2022-02,2022-06-16
4919,142778,167974.0,2022-02-16,2022-04-17,,6JiVpSAze286QFXb9RXK,,,Overdue,197.0,2022-02,2022-07-16
4920,1499379,0.0,2022-02-16,2022-04-02,2022-03-21,HsAmSGbjCOM4MwOU0WwY,33.0,-12.0,Paid,,2022-02,2022-07-01
4921,133179,156681.0,2022-02-16,2022-04-17,,mZYsgbVELCbCzxoguj9J,,,Overdue,197.0,2022-02,2022-07-16
4922,380217,0.0,2022-02-16,2022-04-17,2022-05-10,pKey9MQ59wyF6GhjWM5p,83.0,23.0,Paid,,2022-02,2022-07-16
4923,1846293,0.0,2022-02-16,2022-02-16,2022-02-16,JpduT7UYzXhuzAKpDFtM,0.0,0.0,Paid,,2022-02,2022-05-17
4924,20060,0.0,2022-02-16,2022-04-17,2022-04-14,yMUXolsw5xPmcmo8KRsI,57.0,-3.0,Paid,,2022-02,2022-07-16
4925,19125,0.0,2022-02-16,2022-04-17,2022-04-14,yMUXolsw5xPmcmo8KRsI,57.0,-3.0,Paid,,2022-02,2022-07-16
4926,513233,0.0,2022-02-16,2022-04-17,2022-03-24,X7KDoztwcxzysJxWh3cv,36.0,-24.0,Paid,,2022-02,2022-07-16
4927,356279,0.0,2022-02-16,2022-04-17,2022-03-24,X7KDoztwcxzysJxWh3cv,36.0,-24.0,Paid,,2022-02,2022-07-16
4928,651780,0.0,2022-02-16,2022-04-17,2022-03-24,X7KDoztwcxzysJxWh3cv,36.0,-24.0,Paid,,2022-02,2022-07-16
4929,1061296,0.0,2022-02-16,2022-04-17,2022-03-23,X7KDoztwcxzysJxWh3cv,35.0,-25.0,Paid,,2022-02,2022-07-16
4930,2952306,0.0,2022-02-16,2022-03-18,2022-05-31,UZafolcV260GykSTkt7E,104.0,74.0,Paid,,2022-02,2022-06-16
4931,179906,0.0,2022-02-16,2022-05-17,2022-05-23,xGXYElvBGThTUbrdJ4Cw,96.0,6.0,Paid,,2022-02,2022-08-15
4932,63368,0.0,2022-02-16,2022-03-18,2022-03-31,aPBtcPqs36U0dN6BN1of,43.0,13.0,Paid,,2022-02,2022-06-16
4933,3623770,31894.0,2022-02-16,2022-03-03,,C10LBuvfOEK3POvdTOTv,,,Overdue,242.0,2022-02,2022-06-01
4934,38275,0.0,2022-02-16,2022-04-17,2022-05-27,nELQW5vJOSBCgiwHissH,100.0,40.0,Paid,,2022-02,2022-07-16
4935,1752476,0.0,2022-02-16,2022-03-23,2022-03-31,WfLk5Mql7UpNovIJPp6C,43.0,8.0,Paid,,2022-02,2022-06-21
4936,2330806,0.0,2022-02-16,2022-03-23,2022-03-31,WfLk5Mql7UpNovIJPp6C,43.0,8.0,Paid,,2022-02,2022-06-21
4937,2544376,0.0,2022-02-16,2022-03-23,2022-03-31,WfLk5Mql7UpNovIJPp6C,43.0,8.0,Paid,,2022-02,2022-06-21
4938,2491578,0.0,2022-02-16,2022-03-23,2022-03-31,WfLk5Mql7UpNovIJPp6C,43.0,8.0,Paid,,2022-02,2022-06-21
4939,1397486,0.0,2022-02-16,2022-04-17,2022-03-25,pKey9MQ59wyF6GhjWM5p,37.0,-23.0,Paid,,2022-02,2022-07-16
4940,18054,0.0,2022-02-17,2022-02-17,2022-10-03,y180k97MnHt6EgwCl4TX,228.0,228.0,Paid,,2022-02,2022-05-18
4941,14280,0.0,2022-02-17,2022-02-17,2022-10-03,y180k97MnHt6EgwCl4TX,228.0,228.0,Paid,,2022-02,2022-05-18
4942,159555,0.0,2022-02-17,2022-04-18,2022-10-31,pKey9MQ59wyF6GhjWM5p,256.0,196.0,Paid,,2022-02,2022-07-17
4943,127645,0.0,2022-02-17,2022-04-18,2022-10-31,pKey9MQ59wyF6GhjWM5p,256.0,196.0,Paid,,2022-02,2022-07-17
4944,2187159,195715.0,2022-02-17,2022-03-19,,Cl7B1tiqz7cgpR6Jm18w,,,Overdue,226.0,2022-02,2022-06-17
4945,11301,0.0,2022-02-17,2022-04-18,2022-10-18,huIXEhxBfSOq548jUIhM,243.0,183.0,Paid,,2022-02,2022-07-17
4946,145744,0.0,2022-02-17,2022-04-18,2022-10-18,huIXEhxBfSOq548jUIhM,243.0,183.0,Paid,,2022-02,2022-07-17
4947,1341586,0.0,2022-02-17,2022-03-19,2022-07-14,1baV8J0Ug4k8C4CQpE1k,147.0,117.0,Paid,,2022-02,2022-06-17
4948,2650743,0.0,2022-02-17,2022-03-19,2022-09-15,NAjIqWHdkYIerr4y239b,210.0,180.0,Paid,,2022-02,2022-06-17
4949,2889653,0.0,2022-02-17,2022-03-19,2022-09-15,NAjIqWHdkYIerr4y239b,210.0,180.0,Paid,,2022-02,2022-06-17
4950,2861227,0.0,2022-02-17,2022-03-19,2022-09-15,NAjIqWHdkYIerr4y239b,210.0,180.0,Paid,,2022-02,2022-06-17
4951,23333,0.0,2022-02-17,2022-03-19,2022-04-11,KHgR88XyqEPRiefGR33F,53.0,23.0,Paid,,2022-02,2022-06-17
4952,14280,0.0,2022-02-17,2022-04-18,2022-05-04,bziNEI7rsbLiMvHqpNgZ,76.0,16.0,Paid,,2022-02,2022-07-17
4953,55845,64250.0,2022-02-17,2022-04-03,,OV2y2RbYygijYB0GHMAH,,,Overdue,211.0,2022-02,2022-07-02
4954,16449,0.0,2022-02-17,2022-04-18,2022-04-18,Cdi1XUsXJcXa3th2cuA8,60.0,0.0,Paid,,2022-02,2022-07-17
4955,3113663,0.0,2022-02-17,2022-03-19,2022-03-08,FZBsxfxbzHyU23ZaNZVW,19.0,-11.0,Paid,,2022-02,2022-06-17
4956,648189,0.0,2022-02-17,2022-03-19,2022-03-19,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-17
4957,413073,0.0,2022-02-17,2022-03-19,2022-03-19,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-17
4958,941052,0.0,2022-02-17,2022-03-19,2022-03-19,wPe8rI8GcZORXC2wjYyh,30.0,0.0,Paid,,2022-02,2022-06-17
4959,163363,192192.0,2022-02-17,2022-06-02,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,151.0,2022-02,2022-08-31
4960,95099,111881.0,2022-02-17,2022-04-18,,uBoSyHLxAdZLG9lAy02n,,,Overdue,196.0,2022-02,2022-07-17
4961,38756,0.0,2022-02-17,2022-03-19,2022-04-28,bA2Twt595prTBqRtOOSm,70.0,40.0,Paid,,2022-02,2022-06-17
4962,60180,0.0,2022-02-17,2022-04-18,2022-04-14,yMUXolsw5xPmcmo8KRsI,56.0,-4.0,Paid,,2022-02,2022-07-17
4963,68850,0.0,2022-02-17,2022-04-18,2022-04-14,yMUXolsw5xPmcmo8KRsI,56.0,-4.0,Paid,,2022-02,2022-07-17
4964,170963,0.0,2022-02-17,2022-03-19,2022-04-22,oA4JWOGdLPF3CICH8riJ,64.0,34.0,Paid,,2022-02,2022-06-17
4965,50150,0.0,2022-02-17,2022-03-19,2022-05-07,861lbP24Ly3kiqXDNMxW,79.0,49.0,Paid,,2022-02,2022-06-17
4966,17544,20640.0,2022-02-17,2022-03-19,,SRyNwRSbaPRzxiSBF0nQ,,,Overdue,226.0,2022-02,2022-06-17
4967,2384157,0.0,2022-02-17,2022-03-24,2022-03-31,WfLk5Mql7UpNovIJPp6C,42.0,7.0,Paid,,2022-02,2022-06-22
4968,2501723,0.0,2022-02-17,2022-03-24,2022-03-31,WfLk5Mql7UpNovIJPp6C,42.0,7.0,Paid,,2022-02,2022-06-22
4969,2443237,0.0,2022-02-17,2022-03-24,2022-03-31,WfLk5Mql7UpNovIJPp6C,42.0,7.0,Paid,,2022-02,2022-06-22
4970,150589,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4971,157159,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4972,81203,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4973,151850,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4974,154571,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4975,2898935,0.0,2022-02-17,2022-03-19,2022-09-29,NAjIqWHdkYIerr4y239b,224.0,194.0,Paid,,2022-02,2022-06-17
4976,110347,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4977,110347,0.0,2022-02-17,2022-04-18,2022-05-25,pKey9MQ59wyF6GhjWM5p,97.0,37.0,Paid,,2022-02,2022-07-17
4978,1756846,0.0,2022-02-17,2022-04-18,2022-03-28,pKey9MQ59wyF6GhjWM5p,39.0,-21.0,Paid,,2022-02,2022-07-17
4979,83331,0.0,2022-02-18,2022-04-19,2022-10-31,pKey9MQ59wyF6GhjWM5p,255.0,195.0,Paid,,2022-02,2022-07-18
4980,14523,0.0,2022-02-18,2022-04-19,2022-10-31,pKey9MQ59wyF6GhjWM5p,255.0,195.0,Paid,,2022-02,2022-07-18
4981,178002,0.0,2022-02-18,2022-04-19,2022-10-31,pKey9MQ59wyF6GhjWM5p,255.0,195.0,Paid,,2022-02,2022-07-18
4982,155615,0.0,2022-02-18,2022-04-19,2022-10-31,pKey9MQ59wyF6GhjWM5p,255.0,195.0,Paid,,2022-02,2022-07-18
4983,1936909,578717.0,2022-02-18,2022-03-20,,g2pUQa3OrMBohXgtbaMu,,,Overdue,225.0,2022-02,2022-06-18
4984,160398,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4985,154811,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4986,170916,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4987,303573,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4988,150406,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4989,154153,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4990,292924,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4991,158097,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4992,287534,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4993,156980,0.0,2022-02-18,2022-04-19,2022-05-27,kALsymEb2wujiPvDLmmA,98.0,38.0,Paid,,2022-02,2022-07-18
4994,66045,0.0,2022-02-18,2022-04-04,2022-06-16,EUoAdD8W9LmJRNpxGQpf,118.0,73.0,Paid,,2022-02,2022-07-03
4995,33023,0.0,2022-02-18,2022-04-04,2022-06-16,EUoAdD8W9LmJRNpxGQpf,118.0,73.0,Paid,,2022-02,2022-07-03
4996,66045,0.0,2022-02-18,2022-04-04,2022-06-16,EUoAdD8W9LmJRNpxGQpf,118.0,73.0,Paid,,2022-02,2022-07-03
4997,61328,0.0,2022-02-18,2022-04-04,2022-06-16,EUoAdD8W9LmJRNpxGQpf,118.0,73.0,Paid,,2022-02,2022-07-03
4998,61328,0.0,2022-02-18,2022-04-04,2022-06-16,EUoAdD8W9LmJRNpxGQpf,118.0,73.0,Paid,,2022-02,2022-07-03
4999,16065,0.0,2022-02-18,2022-04-19,2022-06-10,pZ8qiLHkFLXnw6k7Z6ib,112.0,52.0,Paid,,2022-02,2022-07-18
5000,401625,0.0,2022-02-18,2022-04-19,2022-06-10,pZ8qiLHkFLXnw6k7Z6ib,112.0,52.0,Paid,,2022-02,2022-07-18
5001,147320,0.0,2022-02-18,2022-03-20,2022-04-13,NAjIqWHdkYIerr4y239b,54.0,24.0,Paid,,2022-02,2022-06-18
5002,93701,0.0,2022-02-18,2022-03-20,2022-08-24,NAjIqWHdkYIerr4y239b,187.0,157.0,Paid,,2022-02,2022-06-18
5003,92467,0.0,2022-02-18,2022-03-20,2022-08-24,NAjIqWHdkYIerr4y239b,187.0,157.0,Paid,,2022-02,2022-06-18
5004,92464,0.0,2022-02-18,2022-03-20,2022-09-08,NAjIqWHdkYIerr4y239b,202.0,172.0,Paid,,2022-02,2022-06-18
5005,142794,167993.0,2022-02-18,2022-04-19,,6JiVpSAze286QFXb9RXK,,,Overdue,195.0,2022-02,2022-07-18
5006,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
5007,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
5008,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
5009,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
5010,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
5011,163363,192192.0,2022-02-18,2022-06-03,,bPBZIvFiIE1ZbZjvuYm7,,,Overdue,150.0,2022-02,2022-09-01
