payer_id,total_count,total_lifetime_vol,current_outstanding,avg_days_late,paid_count,total_paid_vol,segment
1uhRqKOGxX4GypbiVCpk,8,647236,0.0,0.25,8.0,647236.0,Slow but Steady
1xYRJpuWNIL5akm2I9qA,19,1486780,118400.0,36.5,18.0,1327405.0,Late Payer
27klxxgMyhJtvRYnVLpK,69,19790406,1889723.0,42.0,49.0,18168548.0,Late Payer
2BMsQ70BEclG4PyF2yit,8,4546499,422027.0,44.6,5.0,4187776.0,Late Payer
2CfjuuzR2p8ql4By6VEn,26,655690,291400.0,28.2,15.0,408000.0,Late Payer
2Kz6R4o64bwr3E5LyYOc,2,1026821,0.0,4.5,2.0,1026821.0,Slow but Steady
2SdSYtR1r9j1GCtfJWiz,13,1271453,40887.0,83.08333333333333,12.0,1236699.0,Very Late / Risk
2pqbHx80DqQkTHGflZz9,10,14567354,3898114.0,7.75,8.0,11253957.0,Slow but Steady
2w9aFeCM2gJDTFFa3MvN,17,2446065,400312.0,-6.2,10.0,2105799.0,Prompt Payer
37zzKvfASH7lECDPRONW,35,4733143,1989474.0,125.04166666666667,24.0,2866236.0,Very Late / Risk
38KQMZZTGgJKjCRaEfiF,3,786760,0.0,25.0,3.0,786760.0,Late Payer
39pxjBLj7zvzlCmMXRwo,1,2020593,0.0,75.0,1.0,2020593.0,Very Late / Risk
3D7jByEBx42AVyl6zHc2,41,9400491,6952122.0,83.3157894736842,19.0,3104222.0,Very Late / Risk
3DbfdV68BppHcStTGYI2,1,293378,345150.0,0.0,,,High Risk / Non-Payer
3IwQBXDZ1As5S1UJZ41b,15,2897019,3373373.0,11.0,1.0,29651.0,Slow but Steady
3KlZ1MPt9LP7caoBXuBD,1,100300,0.0,0.0,1.0,100300.0,Prompt Payer
3OuebKS41UffnRwOwMok,2,1809058,113204.0,1.0,1.0,650335.0,Slow but Steady
3WJQ1K77ewBTf7pAFNyS,1,1309808,1540950.0,0.0,,,High Risk / Non-Payer
3dsX1swXJJZshC7NXfW6,1,155210,0.0,0.0,1.0,155210.0,Prompt Payer
3ffsWJc9YPySgHn0pr0j,5,564316,0.0,-3.0,5.0,564316.0,Prompt Payer
3pUVEtY2AUAHMxSSd3iw,3,133680,0.0,14.666666666666666,3.0,133680.0,Slow but Steady
3tpYSGmMvsb1It7MI4AF,1,1295755,0.0,27.0,1.0,1295755.0,Late Payer
42Y2zMidNHR0xdesmzy4,2,2916758,0.0,33.5,2.0,2916758.0,Late Payer
474fNXp5egdztI8LOr8a,1,86659,0.0,20.0,1.0,86659.0,Late Payer
4BdbgDoApw1nD0kmtVkM,39,3869522,2241232.0,91.0,16.0,1938849.0,Very Late / Risk
4GwtlXrmOG4ctDdNsc3f,48,14110812,4205159.0,36.94117647058823,34.0,10535967.0,Late Payer
4W53jwvQ5FSA7PsQmEif,4,5004861,0.0,43.25,4.0,5004861.0,Late Payer
4b8he6tdneojJrJdIEac,3,300560,0.0,14.333333333333334,3.0,300560.0,Slow but Steady
4e2zZswhmUWq58OlX3kX,47,8922394,59885.0,3.7333333333333334,45.0,8289168.0,Slow but Steady
4xpmfIidsWhWMvQCqUyx,4,266730,0.0,38.75,4.0,266730.0,Late Payer
57UHMygsLvvJA6Abmv0X,2,90908,0.0,60.5,2.0,90908.0,Very Late / Risk
5DwqfA1RDPRUEmqcSR27,2,81495,95876.0,0.0,,,High Risk / Non-Payer
5I2rgTu8jFvM2TuEsW9v,2,186661,219600.0,0.0,,,High Risk / Non-Payer
5STFaIYv5lgk0rTReEN6,1,286417,336961.0,0.0,,,High Risk / Non-Payer
5X7tvICxPMxRK289jeSe,2,575916,0.0,19.5,2.0,575916.0,Late Payer
5aYH4wH1lbProNvzreU0,2,604165,0.0,15.0,2.0,604165.0,Slow but Steady
5hkgJluCyT6DY97zKNC6,1,100300,118000.0,0.0,,,High Risk / Non-Payer
5ut3XJxGRCG2GKPMBnCL,10,3721964,0.0,66.8,10.0,3721964.0,Very Late / Risk
5zZIVGvdZnHWy55ptlSZ,12,13349583,15705392.0,0.0,,,High Risk / Non-Payer
66A4zr0HSsnipSuUJQUw,27,2051782,1029919.0,52.1764705882353,17.0,1163612.0,Very Late / Risk
6JiVpSAze286QFXb9RXK,170,94551096,21317402.75,46.94405594405595,143.0,75317623.0,Very Late / Risk
6Kc4yvnYL3LTiKqFFq2c,35,5847906,2633629.0,32.0,20.0,3584390.0,Late Payer
6QHYkZATC3NY2CL9BWjO,2,39270,0.0,4.0,2.0,39270.0,Slow but Steady
6eDeM3x1DCP7NX49dz1o,30,225518,6054.0,159.17241379310346,29.0,220372.0,Very Late / Risk
6pQYZtKzOhgTlo1Bs1Mi,1,55675,0.0,16.0,1.0,55675.0,Late Payer
6qn2bbbcF2bdcg2Be7s5,21,719451,59811.0,90.47368421052632,19.0,668612.0,Very Late / Risk
6rdvAbZOn44Y76vIqPfd,14,814306,958006.0,0.0,,,High Risk / Non-Payer
6tYO4at7N5JO1d9w8S2t,47,75328869,8847309.0,-0.9459459459459459,37.0,67808656.0,Prompt Payer
76p2qMo53Zc0hznNSUO4,125,11105903,8082.05,6.120967741935484,124.0,11064238.0,Slow but Steady
7EMGoXgS0cfftmhe4PLC,57,34697271,29249991.0,14.705882352941176,17.0,9834776.0,Slow but Steady
7OvueTrk2kEbKBNJ39n6,4,437147,514290.0,0.0,,,High Risk / Non-Payer
7SYj9zq92B3iaMLobUYN,5,5855307,1012603.0,40.0,2.0,3719106.0,Late Payer
7UiAC3Htixjym7MXMQF5,17,982091,364900.0,98.45454545454545,11.0,659983.0,Very Late / Risk
7Wn79iFcIG79M4N3GW6b,8,4772041,4654917.0,24.0,4.0,815361.0,Late Payer
7ZloM8r7IWHbhauUMEzo,5,137445,0.0,-3.0,5.0,137445.0,Prompt Payer
7p6P1Lq7LGGPSwVgPxKG,7,540876,636325.0,0.0,,,High Risk / Non-Payer
7rAOhbZzJQMoSAd83j9z,1,1719822,2023320.0,0.0,,,High Risk / Non-Payer
7tFOsxzLBVHNFbQ5HR0e,2,726887,0.0,1.0,2.0,726887.0,Slow but Steady
7zuNktY0MIVWRTAZ4mPs,9,7864675,842834.0,12.333333333333334,6.0,4918056.0,Slow but Steady
80TEORyjZgs6An8UAKMa,9,676600,0.0,36.333333333333336,9.0,676600.0,Late Payer
81gts8DO6RMTXbvPSHsy,25,2743912,3228130.0,0.0,,,High Risk / Non-Payer
832BDvicdphTfmE4o51P,24,3431302,15863.0,23.5,22.0,2857555.0,Late Payer
85jXTpK474CglKEEfFrM,2,1904486,2140572.0,0.0,,,High Risk / Non-Payer
861lbP24Ly3kiqXDNMxW,2,72420,0.0,45.5,2.0,72420.0,Very Late / Risk
8Jf9cv0TwYtYalpNhLmm,1,137700,0.0,40.0,1.0,137700.0,Late Payer
8M8bokauy21TDhWIDhaW,1,742979,93.0,0.0,,,High Risk / Non-Payer
8ODa2O9Ll6BRqaxcfheK,14,10143850,7147915.0,25.666666666666668,6.0,4046610.0,Late Payer
8OOENUTs4nBJ3HuuNDdN,2,352447,290764.0,5.0,1.0,105298.0,Slow but Steady
8QOguMYSMjT5VOZIGtKu,13,2330871,0.0,16.46153846153846,13.0,2330871.0,Late Payer
8Yl5BTcX99Nvu6mNrhpb,7,10975941,0.0,-2.142857142857143,7.0,10975941.0,Prompt Payer
8lersbgABSunn070MQcD,1,59160,0.0,1.0,1.0,59160.0,Slow but Steady
8mA2sGUrtgGnckKLynAX,1,1297068,0.0,4.0,1.0,1297068.0,Slow but Steady
8rrb3WTYxgVWzCh4jPBJ,13,2210663,2600780.0,0.0,,,High Risk / Non-Payer
91QYdKB0Rp8Ycw5kJahR,4,108184,0.0,3.75,4.0,108184.0,Slow but Steady
94ReuxSKE3qBhewx6Hym,31,2746023,1135627.0,6.761904761904762,21.0,1779775.0,Slow but Steady
9Ez4a18dPiQIvzeDMSh5,12,2345023,870450.0,63.5,6.0,1605142.0,Very Late / Risk
9MOgDPtLcmLnRyktaiEN,141,30458798,11850249.0,62.339622641509436,106.0,20343768.0,Very Late / Risk
9MqiNjAg4mL0O6A5aDoP,4,77236,0.0,20.25,4.0,77236.0,Late Payer
9OeeumJ8y2zrvrn14ZoC,2,3888744,4574993.0,0.0,,,High Risk / Non-Payer
9XY3MR33SHdTwsaPF48K,5,270810,33040.0,-23.333333333333332,3.0,151654.0,Prompt Payer
9b5IyVnRR7YmAoWUh599,14,1737444,0.0,88.35714285714286,14.0,1737444.0,Very Late / Risk
9muOutNRWjZVV8ZuhxyT,5,8698011,0.0,53.4,5.0,8698011.0,Very Late / Risk
9nvd6tQANDPzDRdZNRpb,2,1807811,826837.0,0.0,,,High Risk / Non-Payer
9plZuRMMhlW1lF0vPJmc,1,26106,0.0,-1.0,1.0,26106.0,Prompt Payer
9uj0prCTyYUQqQLBO3Na,27,43287357,4720.0,30.884615384615383,26.0,43283345.0,Late Payer
9yYf3ftJ41aA4G6ylIEw,4,5726455,6737005.0,0.0,,,High Risk / Non-Payer
A2jBHzG5JOnG6koaUIVP,20,1662912,160802.0,128.78947368421052,19.0,1526230.0,Very Late / Risk
A3NQynMOlLGXICiXW86Q,8,2498423,286372.0,45.57142857142857,7.0,2121345.0,Very Late / Risk
A50guhJEBo9Np2HR1B7U,1,37118,43668.0,0.0,,,High Risk / Non-Payer
ACD3Ey1r2lAQs1EnR7kl,1,164220,0.0,-2.0,1.0,164220.0,Prompt Payer
AEio2zJLWWTrZe1MoZDQ,3,255001,0.0,7.333333333333333,3.0,255001.0,Slow but Steady
AFg3uiZtXoav3sBoEKhn,2,466956,549360.0,0.0,,,High Risk / Non-Payer
ALfD4XtAzTkApN15lKjY,2,133280,0.0,6.5,2.0,133280.0,Slow but Steady
AOBu3kI7GSpKkIdCOBjU,1,800658,941951.0,0.0,,,High Risk / Non-Payer
AScL7mxsoHhN4LBfvtNx,6,185938,25300.0,18.75,4.0,137318.0,Late Payer
ASnYQNxvVaaAOjk1o7IU,13,1863022,320311.0,2.727272727272727,11.0,1590758.0,Slow but Steady
ATKc0W1TGvfi7trBcTcJ,1,34425,0.0,-4.0,1.0,34425.0,Prompt Payer
AXAYpTbI7w394OYqpwzp,8,1438487,105587.0,33.166666666666664,6.0,1297918.0,Late Payer
AdJlZf0FI9SMrJTrIRpz,2,722882,650450.0,0.0,,,High Risk / Non-Payer
AjT05XDWO8bnRmbK586J,5,608239,556950.0,26.0,1.0,134831.0,Late Payer
AqtWpLs8GbcRPC27aSKy,2,255941,0.0,-29.0,2.0,255941.0,Prompt Payer
ArArxjHaReHO6hGlr71M,1,187425,0.0,-7.0,1.0,187425.0,Prompt Payer
AxQFN04xBq2YwXgI1GA8,76,4650544,3445342.0,14.0,3.0,1721990.0,Slow but Steady
B9tFmkTbmDh1HXgTkAnm,6,1197075,1408325.0,0.0,,,High Risk / Non-Payer
BCKzTqVH6lrOp9aoKdMb,4,11437171,13455496.0,0.0,,,High Risk / Non-Payer
BD7yNahbUw4cflj5Eekh,13,924269,0.0,-9.692307692307692,13.0,924269.0,Prompt Payer
BGsAvZYpkpUhWJjCoisN,1,1211932,0.0,-9.0,1.0,1211932.0,Prompt Payer
Bb3AkAUuHSwTg9pDRobz,1,23715,0.0,127.0,1.0,23715.0,Very Late / Risk
Bc1iVoyJ9E4qa3C5V32H,1,36720,0.0,0.0,1.0,36720.0,Prompt Payer
BgKXHOFFtbwUyqMEoPqc,4,764138,898987.0,0.0,,,High Risk / Non-Payer
Bl8BLN331acjE2vvNkVO,5,10211091,12013047.0,0.0,,,High Risk / Non-Payer
BmhtbVvMdINhmT5I05tJ,4,486782,0.0,15.75,4.0,486782.0,Late Payer
Brr8FL19fxGSMkIB99l3,2,1132307,0.0,14.0,2.0,1132307.0,Slow but Steady
Bt7EJphi64L9eFttpdab,43,9803166,1447769.0,25.818181818181817,22.0,8121253.0,Late Payer
BxzhF8rkjvvau4KlbKmc,15,5128817,0.0,47.2,15.0,5128817.0,Very Late / Risk
C10LBuvfOEK3POvdTOTv,33,37672757,634174.08,31.24,25.0,26819833.0,Late Payer
C22BIKG11bQQIPWAULLI,1,645431,0.0,13.0,1.0,645431.0,Slow but Steady
CISBHUjjoQN1qj9iRxy1,4,5434521,6393555.0,0.0,,,High Risk / Non-Payer
CJq7rtBYmMKukjNI6o4t,2,91163,0.0,61.0,2.0,91163.0,Very Late / Risk
CNkSOiBIMSBBzqxpDmeQ,21,11296314,3382458.0,49.27777777777778,18.0,6545066.0,Very Late / Risk
CV9sZ9Quxk5hak55xpYH,7,8332025,0.0,38.0,7.0,8332025.0,Late Payer
CaXzrrFeJ72v1pFgGzkN,2,171488,0.0,67.0,2.0,171488.0,Very Late / Risk
Cdi1XUsXJcXa3th2cuA8,158,26727687,4016567.0,0.40145985401459855,137.0,22087077.0,Slow but Steady
Cl7B1tiqz7cgpR6Jm18w,3,4945908,2618715.0,2.0,1.0,699199.0,Slow but Steady
CyXEhLoq9N3sJVZ2Zv2L,1,1659915,0.0,2.0,1.0,1659915.0,Slow but Steady
D3vAhqrA3IiD6xn0LOJ1,2,121438,0.0,228.0,2.0,121438.0,Very Late / Risk
D4bFaxNFpDnPjx2VXrrH,4,2238515,694146.0,90.0,2.0,1497743.0,Very Late / Risk
D9r20kALpXiJpBRqmVPT,3,382087,0.0,10.333333333333334,3.0,382087.0,Slow but Steady
DFFLQ6ljZJ5nVbwk2fbg,3,3554551,0.0,14.0,3.0,3554551.0,Slow but Steady
DIwztkCu9RQiiORlmgvJ,30,2547068,202550.0,55.607142857142854,28.0,2370650.0,Very Late / Risk
DJAXJsaT5JvISVsxliPn,2,86879,0.0,106.5,2.0,86879.0,Very Late / Risk
DKlzJ7jy37MHiJAJEeLk,5,1691078,44402.0,135.25,4.0,1433018.0,Very Late / Risk
DLkK7k2yzvcBpylWDhF2,10,413712,0.0,57.6,10.0,413712.0,Very Late / Risk
DSEF4okXV3IIVZlxmBoe,13,343061,365250.0,-24.0,1.0,32598.0,Prompt Payer
DTC7CQOhQP7cTYAjbIj1,3,328950,0.0,37.0,3.0,328950.0,Late Payer
DTrmlfF3a3w3q9P5o1wZ,2,1378920,0.0,14.0,2.0,1378920.0,Slow but Steady
DZIrJGqKsZNgASAes5XJ,3,90228,0.0,11.666666666666666,3.0,90228.0,Slow but Steady
DaN782sLJUg5KCp0Fh72,8,505511,118944.0,17.571428571428573,7.0,404409.0,Late Payer
Dh8rvKCDssl8jZnWVRQ9,2,1460712,0.0,12.5,2.0,1460712.0,Slow but Steady
DqQQB5Obd3d4fbKsl7sF,13,5060821,545320.0,93.41666666666667,12.0,4470255.0,Very Late / Risk
Dt3YAKHQQv86EMMxjYAI,4,983204,0.0,10.25,4.0,983204.0,Slow but Steady
DwqzqJynNvipnSex7TTY,1,24013,28250.0,0.0,,,High Risk / Non-Payer
E7VRu9MQB4YhQfUfdxLA,17,4495356,1981565.0,4.0,4.0,2811026.0,Slow but Steady
EGPnfMRdyOPuHBzKQ9Qu,4,442395,515464.0,0.0,,,High Risk / Non-Payer
ENviP7spAuoz3JTwzNRJ,12,2090732,0.0,60.416666666666664,12.0,2090732.0,Very Late / Risk
EUoAdD8W9LmJRNpxGQpf,74,5104049,0.0,79.44594594594595,74.0,5104049.0,Very Late / Risk
EaXChxDR9rR1mZtOme8D,1,77605,0.0,-5.0,1.0,77605.0,Prompt Payer
EcSvupskCynyDL5icR8D,10,1567212,69585.0,90.71428571428571,7.0,1438556.0,Very Late / Risk
Ed9wuAC3RlOfWkENchdD,32,43979069,10070376.0,13.2,25.0,35419248.0,Slow but Steady
EhWOEzHzDd57fSIlsaPC,3,302254,0.0,19.333333333333332,3.0,302254.0,Late Payer
EsTwsL9XKg2gf0VLSZeB,53,98956836,65347654.0,53.130434782608695,23.0,43362720.0,Very Late / Risk
F3qv8WK84Nhpugmy77OW,1,44232,0.0,18.0,1.0,44232.0,Late Payer
F465Ot4akABku6PIZ4Qz,1,538750,0.0,1.0,1.0,538750.0,Slow but Steady
FArX3NXmjDWIUFLbgasK,39,11601888,1688828.0,52.114285714285714,35.0,10119652.0,Very Late / Risk
FRiFT4joLpv4elochRGw,3,1283585,1010300.0,8.0,1.0,424830.0,Slow but Steady
FZBsxfxbzHyU23ZaNZVW,94,109352988,9285873.15,28.80952380952381,63.0,100887675.0,Late Payer
FZWs0cq6UUO1gEU1nZKU,8,694399,374484.0,37.0,4.0,274769.0,Late Payer
Fc8CJmFyV1qtwOr6oukK,17,1856455,734779.0,194.75,12.0,1149714.0,Very Late / Risk
FglbGlcY4DTO2EwG2tpG,54,44772485,22894649.0,-16.225806451612904,31.0,25312033.0,Prompt Payer
FunXVV0qAoHLXOHtfbiZ,5,449317,21240.0,197.75,4.0,431263.0,Very Late / Risk
G3P8zHoHySTGWLO7Km4K,35,3025243,0.0,18.857142857142858,35.0,3025243.0,Late Payer
GWlONicMd0kdum3De1Rv,1,1664026,0.0,30.0,1.0,1664026.0,Late Payer
GcEvPdIWIEgKTbTdIulI,11,599793,89825.0,14.11111111111111,9.0,523442.0,Slow but Steady
GeZaI9UKGvN9wgKLl2vE,2,615634,0.0,37.0,2.0,615634.0,Late Payer
GerKfkuZiXzOK7Zm6W7E,9,705334,144150.0,46.0,8.0,582806.0,Very Late / Risk
GmMEqN16imbe8gGvRhNG,3,4459607,1509064.0,0.0,2.0,2836903.0,Prompt Payer
Gs8wOLfJZKfEiu7jvlwO,1,590322,694496.0,0.0,,,High Risk / Non-Payer
GtTPewbHzVIyikNehly0,1,227969,0.0,14.0,1.0,227969.0,Slow but Steady
GvSUWXXzHKC8bPtFeXfF,1,73780,86800.0,0.0,,,High Risk / Non-Payer
HHMyvfxYzJO2yrlO31fP,9,1974443,98206.0,90.14285714285714,7.0,1876731.0,Very Late / Risk
HKAIsYwEgOaGq8ezGB1j,3,213180,0.0,-16.333333333333332,3.0,213180.0,Prompt Payer
HLLRMUPgNn7VS1rPUtJ5,18,244650,137818.0,110.375,8.0,113374.0,Very Late / Risk
HLUslwehShXXm2GybJqs,6,7954848,0.0,5.833333333333333,6.0,7954848.0,Slow but Steady
HMKnsisoGlpGCQJJJa0f,6,190380,114950.0,44.0,3.0,92672.0,Late Payer
HMVVih0fVR5xU930PbXf,71,4772607,2028099.0,21.403846153846153,52.0,3030697.0,Late Payer
HPQO2A2C6zDCocKOEqYG,27,6651502,239728.0,-1.7391304347826086,23.0,6277733.0,Prompt Payer
HPQbTMMtIUz0mn1ZYCUG,1,174250,0.0,6.0,1.0,174250.0,Slow but Steady
HsAmSGbjCOM4MwOU0WwY,54,25266357,3380600.0,67.82051282051282,39.0,22392848.0,Very Late / Risk
HtSNcmcXJfEexTotGKMy,7,371599,0.0,45.57142857142857,7.0,371599.0,Very Late / Risk
Hu61ukpqHhK0OEcXoap6,2,3751499,0.0,7.0,2.0,3751499.0,Slow but Steady
I0zuQtlrumgeLi7ZsG76,1,19145,0.0,61.0,1.0,19145.0,Very Late / Risk
I14OW2dg0QNzzMMYc85b,2,3978020,4680024.0,0.0,,,High Risk / Non-Payer
IP2ljn0Wq16adWee1R1z,4,714022,545689.0,192.0,2.0,101150.0,Very Late / Risk
IauSozaKzwfCktj3adJ2,5,753386,0.0,5.6,5.0,753386.0,Slow but Steady
InT6A0Jwo7ywlmrUKmNd,20,2598838,503106.0,16.27777777777778,18.0,1761627.0,Late Payer
IrPgxc44fxbwZMygGbP4,2,1643853,0.0,-14.5,2.0,1643853.0,Prompt Payer
It2mNg7nQ1c5LNJ8s3E2,2,3693109,0.0,4.5,2.0,3693109.0,Slow but Steady
IvZZzaOXGOXYwrSyWav9,1,30391,0.0,-1.0,1.0,30391.0,Prompt Payer
IyjuFpgJXfqECq1QrSpG,39,2330949,1901988.0,55.1,10.0,643155.0,Very Late / Risk
J3MjbEghzfray4eHrnUw,2,249486,0.0,130.0,2.0,249486.0,Very Late / Risk
J7C5LEylSfBqCyZwncuY,1,28050,0.0,182.0,1.0,28050.0,Very Late / Risk
JCGijtyYK8VUYEwgsqiQ,2,458121,538966.0,0.0,,,High Risk / Non-Payer
JSBUQUk4e5uJVFO2HSOr,8,285600,144000.0,-7.8,5.0,163200.0,Prompt Payer
Jk3Siy0WNUpnsAgT71JS,5,415803,0.0,101.0,5.0,415803.0,Very Late / Risk
JkllULsFladgxDMHnIRV,2,49749,0.0,-30.0,2.0,49749.0,Prompt Payer
Jm44d3GlfzYBigYo63fi,16,56347942,30015950.0,66.85714285714286,7.0,26968220.0,Very Late / Risk
JpduT7UYzXhuzAKpDFtM,49,65356397,0.0,2.693877551020408,49.0,65356397.0,Slow but Steady
K7109XtYrtiYv2RewDBi,3,1464179,270925.0,140.5,2.0,1097638.0,Very Late / Risk
K8FbrSOh31yO9jnVBxXL,1,96273,0.0,-27.0,1.0,96273.0,Prompt Payer
K9Cw7Vi6xTOTSwkxS5OJ,16,656158,123600.0,28.9,10.0,508598.0,Late Payer
KE4ubTcOAM9wzCb8orCY,12,3148289,0.0,62.833333333333336,12.0,3148289.0,Very Late / Risk
KHgR88XyqEPRiefGR33F,18,1421194,0.0,56.5,18.0,1421194.0,Very Late / Risk
KN83nwfuhwO50POYCPBm,9,6318133,5723605.0,151.5,2.0,1437561.0,Very Late / Risk
KRvUi6VrFVoewzXPHezg,4,267208,209575.0,4.0,1.0,89070.0,Slow but Steady
KWwMnyvwRDGeTtq4y05V,1,281520,0.0,17.0,1.0,281520.0,Late Payer
KXSYXYCKNx3EZapHhhnv,5,3207392,2281088.0,121.0,1.0,632118.0,Very Late / Risk
KcagRYkfO4ZasSxwgOMl,48,5434005,3011391.0,54.333333333333336,15.0,2482132.0,Very Late / Risk
KkzgrwUirSuRquzdxBEG,18,1089360,881600.0,37.75,4.0,256360.0,Late Payer
L2HMMhjRCKVXNFo0fEia,8,12362709,0.0,16.0,8.0,12362709.0,Late Payer
L7b4TgISV4T33pUWAYFi,40,7457095,2937825.0,45.791666666666664,24.0,4959942.0,Very Late / Risk
L82sqrGYgg96SzF8Odtm,5,11234982,0.0,29.4,5.0,11234982.0,Late Payer
LG6w0hp7vtRfHpQRNhJu,12,1001616,0.0,6.333333333333333,12.0,1001616.0,Slow but Steady
LHUUbIuqyLCBNwgEv7ms,4,129953,0.0,13.0,4.0,129953.0,Slow but Steady
LMWbGEkB9LdBZEFB1ArH,6,498015,140800.0,11.0,5.0,335835.0,Slow but Steady
LMnJxvQ5pmNoGzTYdGYB,3,2213490,0.0,16.0,3.0,2213490.0,Late Payer
LPz0kOjgpeCzIbGPNXeS,1,171822,202144.0,0.0,,,High Risk / Non-Payer
LQdhBO4xy2BHZfIbywoO,3,1648932,1293280.0,2.0,1.0,549644.0,Slow but Steady
LglHsyhBZY2bkKVI7zZ1,1,3425612,1330132.0,0.0,,,High Risk / Non-Payer
Ll3HWARxroC8KjvHPThk,3,312963,0.0,-21.0,3.0,312963.0,Prompt Payer
LsHHtXite8ktesGcn6JV,5,488964,0.0,0.0,5.0,488964.0,Prompt Payer
LtWymFTHzCYpizsujF6A,2,71910,0.0,18.5,2.0,71910.0,Late Payer
LuHlLAXT39tTSzUZqtA9,47,11411235,6778236.0,2.130434782608696,23.0,5649731.0,Slow but Steady
LvuRHBbUQlr5XKkTBVfy,22,5389939,5054250.0,8.333333333333334,6.0,1029308.0,Slow but Steady
MBU16yEzoDphUuacMLAY,15,9512950,0.0,19.466666666666665,15.0,9512950.0,Late Payer
MBiSxmWuKjMxaUrFvqVH,5,625592,613140.0,-26.0,1.0,50981.0,Prompt Payer
MC6OGfMA77IzMmZq3mci,34,1070700,0.0,20.823529411764707,34.0,1070700.0,Late Payer
MEezPxFNRdCXmFvQrH3N,1,1461873,0.0,4.0,1.0,1461873.0,Slow but Steady
MLpbS3fXdZKQRgO9x8ET,5,10331017,12154138.0,0.0,,,High Risk / Non-Payer
MMhbzUCDRl4noq54mRux,13,19921362,0.0,36.0,13.0,19921362.0,Late Payer
MT8miFGZuokxgJ6dG0k2,1,17546,0.0,7.0,1.0,17546.0,Slow but Steady
MdZXi1g6NLkAjtkN7buL,14,409785,240700.0,48.875,8.0,205190.0,Very Late / Risk
MffXiU4NLMMtTNlzP0gq,3,636238,1410.0,-0.5,2.0,356843.0,Prompt Payer
